% 1. Title: Webscrape Database
% 
% 2. Sources:
%      (a) Avtor: Tadej Tomažin
%      (b) Podatki: https://www.avto.net/
%      (c) Datum: Januar, 2020
%
% 3. Instances: 200, all unique

@relation avtomobili

@attribute 'letnikAvto' numeric
@attribute 'nazivAvta' string
@attribute 'tehnicniPregled' string
@attribute 'prevozeniKilometri' numeric
@attribute 'barva' {bela,'svetlo modra','bordo rdeča metalik',modra,'svetlo siva','zelena metalik','svetlo modra metalik',svetlo siva metalik,'modra metalik','temno modra','beige metalik','rjava metalik','svetlo siva metalik','oranžna metalik','temno siva metalik','temno modra metalik','rdeča metalik',rdeča,'siva metalik','srebrna metalik','temno siva','temno zelena metalik','črna metalik','zlata metalik',srebrna,'bela metalik',črna}
@attribute 'cena' numeric
@attribute 'vrstaGoriva' {diesel_motor, bencinski_motor, elektro_pogon, hibridni_pogon}
@attribute 'oblikaAvta' string

@data
2016,'Volkswagen Touran 2.0 TDI BMT',4/2020,108827,'temno modra metalik',18990,diesel_motor,'enoprostorec / van, 5 vr.'
2017,'BMW serija X3: M Sport Avtomatik xDrive 20d',?,40000,'bela metalik',31500,diesel_motor,'terensko vozilo / SUV, 5 vr.'
2010,'Škoda Octavia Combi 2.0 TDI CR DPF Elegance',5/2020,225000,srebrna,6200,diesel_motor,'karavan, 5 vr.'
2016,'Ford S-Max 2.0 TDCi Titanium 180PS',7/2020,83000,črna,19700,diesel_motor,'kombilimuzina / hatchback, 5 vr.'
?,'Volvo V90 D3 AWD Momentum',?,124867,črna,25999,diesel_motor,'karavan, 5 vr.'
2011,'Nissan Juke 1.5 dCi Acenta',5/2020,149990,rdeča,5500,diesel_motor,'terensko vozilo / SUV, 5 vr.'
2019,'Škoda Superb COMBI 2.0 TDI-190 KS-STYLE-DSG',5/2023,15500,'srebrna metalik',27500,diesel_motor,'karavan, 5 vr.'
2016,'Audi A6 2.0 TDI ultra S tronic',6/2020,109900,'temno siva metalik',23990,diesel_motor,'limuzina, 4 vr.'
2020,'Dacia Duster 1.6 SCe 115 Comfort',?,5,'črna metalik',16910,bencinski_motor,'terensko vozilo / SUV, 5 vr.'
2011,'Volkswagen Tiguan 2.0 TDI 4motion BMT Sport Style DSG',1/2021,99400,'črna metalik',13430,diesel_motor,'terensko vozilo / SUV, 5 vr.'
?,'Opel Astra Karavan 1.7 CDTI',1/2021,228000,siva,1800,diesel_motor,'karavan, 5 vr.'
2008,'Toyota RAV4 2.0 VVT-i 4WD',?,105000,'temno siva metalik',7900,bencinski_motor,'terensko vozilo / SUV, 5 vr.'
2014,'Fiat Punto 1.3 Multijet 16V',1/2020,113000,bela,5490,diesel_motor,'kombilimuzina / hatchback, 5 vr.'
2017,'Volvo XC60 AWD D4 Momentum Geartronic 113.000-KAMERA-NAVI-PDC',1/2021,113461,bela,25860,diesel_motor,'terensko vozilo / SUV, 5 vr.'
?,'Volkswagen Passat Variant 2.0 TDI BMT Highline',8/2020,183000,'svetlo siva metalik',14300,diesel_motor,'karavan, 5 vr.'
?,'Ssangyong Korando STYLE 1.5 T-GDI',?,?,'srebrna metalik',18490,bencinski_motor,'terensko vozilo / SUV, 5 vr.'
2016,'Toyota Land Cruiser 2.8 D-4D Active',?,57336,srebrna,40500,diesel_motor,'terensko vozilo / SUV, 5 vr.'
2006,'Volvo S60 D5 AUT.',2/2021,381500,'temno modra',2990,diesel_motor,'limuzina, 4 vr.'
2015,'BMW serija 3: 320d Touring',6/2020,137151,'črna metalik',13990,diesel_motor,'karavan, 5 vr.'
?,'Dacia Duster 4x4 1.5 dCi 110 S S Urban Explorer',6/2020,54200,črna,12650,diesel_motor,'terensko vozilo / SUV, 5 vr.'
